Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-00:00,23.1,16.52,121.717,1177.607,169.805,358.282,329.545,1.443,599.253,,16.471,46.011,67.122,329.432,303.099,175.964,1127.197,1319.039,257.325,54.612,252.077,
31-01:00,27.6,16.81,79.022,1328.36,341.327,351.05,329.067,1.549,537.201,6.076,16.543,43.954,60.012,330.823,304.879,163.202,665.975,1297.317,241.182,46.603,251.406,29.11
31-02:00,23.19,16.709,79.562,1329.407,239.161,350.022,329.26,1.6,549.611,,16.559,44.495,61.304,329.14,303.383,164.013,677.534,1327.072,237.272,51.795,251.335,
31-03:00,23.6,16.478,81.011,1334.877,213.527,350.938,331.142,1.604,623.362,6.054,16.562,45.592,68.496,328.875,302.254,181.487,767.853,1324.461,239.478,54.846,250.312,29.02
31-04:00,22.9,15.618,93.244,1334.168,243.131,351.64,332.709,,638.672,6.11,16.677,45.512,70.022,328.352,300.954,183.929,888.448,1343.424,215.372,54.186,249.916,29.01
31-05:00,20.89,14.308,94.172,1327.832,251.12,351.263,332.485,1.522,631.514,,16.626,45.847,71.286,328.699,300.706,180.229,903.605,1323.082,232.729,54.503,250.084,
31-06:00,22.65,14.1,91.887,1307.852,288.989,352.321,331.162,1.468,625.549,6.143,16.62,45.797,71.298,329.662,301.539,179.886,837.178,1315.111,234.047,53.805,249.971,29.22
31-07:00,22.5,14.233,97.249,1346.9,330.325,352.687,328.894,1.48,591.827,,16.617,45.832,68.791,331.485,303.488,174.804,889.516,1317.912,226.319,52.546,250.414,
31-08:00,24.7,13.85,96.208,1334.892,362.511,352.372,327.358,1.515,553.172,6.199,16.625,45.541,64.249,332.264,305.419,166.12,909.81,1318.725,180.375,48.842,251.121,29.21
31-09:00,22.6,13.875,95.72,1351.24,383.731,347.683,322.363,1.48,541.728,,16.624,45.695,62.86,329.58,304.97,163.512,865.051,1319.664,118.24,45.992,251.284,
31-10:00,24.4,14.117,85.998,1330.104,394.234,348.089,319.027,1.429,540.558,6.209,16.661,45.258,62.179,329.831,302.652,163.258,827.107,1312.372,132.163,49.446,251.406,29.292
31-11:00,26.62,15.467,84.447,1334.255,386.971,349.392,321.021,1.428,531.25,,16.668,44.58,59.407,330.284,303.248,156.797,799.947,1299.782,118.901,46.597,251.721,
31-12:00,27.2,16.083,82.839,1332.331,366.855,350.094,327.439,1.486,527.893,6.19,16.669,44.541,60.271,330.023,302.883,160.562,771.158,1299.974,153.647,47.175,251.767,30.18
31-13:00,24.05,16.675,77.025,1284.386,246.336,350.317,329.24,1.538,537.811,,16.709,44.694,58.979,329.56,302.146,160.587,823.039,1300.545,372.228,51.74,251.492,
31-14:00,25.4,16.425,72.924,1197.775,118.821,350.765,329.799,1.635,585.011,6.197,16.794,45.547,65.474,329.773,302.884,175.646,756.154,1300.037,401.418,54.628,251.009,30.41
31-15:00,24.1,15.8,79.387,1203.375,52.241,352.311,333.573,,606.425,6.2,16.822,45.818,68.501,330.218,303.019,177.923,770.599,1317.016,413.772,54.871,251.752,30.42
31-16:00,17.4,15.158,87.057,1218.797,6.476,350.724,330.613,1.553,628.041,,16.822,45.367,68.633,328.218,300.495,178.152,781.992,1315.006,415.542,56.812,251.67,
31-17:00,17.8,14,92.772,1204.489,61.783,353.562,330.481,1.532,623.209,6.2,16.824,45.441,67.845,331.632,304.889,182.998,909.81,1295.843,415.118,52.502,252.733,30.77
31-18:00,20,12.983,100.073,1206.709,191.648,349.412,324.744,1.532,590.861,,16.822,45.329,64.274,329.17,304.827,172.555,778.228,1293.554,339.705,49.716,252.316,
31-19:00,20.3,12.058,89.523,1180.205,300.596,348.649,318.905,1.548,577.128,6.09,16.822,45.793,66.904,329.492,306.086,173.064,731.689,1291.897,291.689,47.304,252.438,29.46
31-20:00,20.8,13.183,84.397,1187.186,349.159,346.36,315.365,1.509,549.357,,16.822,45.904,64.559,328.581,304.018,164.25,724.161,1291.127,288.944,44.365,252.728,
31-21:00,23,14.067,88.383,1191.691,374.687,346.269,318.589,1.542,515.431,6.095,16.822,46.088,62.306,328.7,304.135,154.291,748.067,1292.154,294.32,40.427,252.733,29.2
31-22:00,22.7,13.483,89.578,1180.19,353.574,345.811,322.831,1.517,484.914,,16.822,45.541,56.411,327.425,303.109,142.87,718.668,1292.665,289.455,42.904,253.232,
31-23:00,21.4,12.875,92.564,1191.757,229.014,347.377,326.687,1.552,521.84,6,16.822,45.969,60.485,328.41,303.215,152.918,763.072,1293.557,291.099,49.835,252.072,29.53
1-00:00,20.7,12.573,96.141,1208.756,272.985,347.947,329.301,1.474,559.122,,16.822,45.613,65.342,329.249,305.094,162.495,738.125,1293.046,330.577,45.731,251.335,
1-01:00,18.9,12.542,94.741,1188.212,302.073,346.808,323.35,1.488,541.015,6.031,16.822,45.231,60.042,328.464,304.22,155.932,803.101,1293.109,377.297,46.899,251.792,29.64
1-02:00,21.35,12.467,94.28,1194.216,296.608,346.747,317.603,,518.788,6.04,16.822,46.588,63.272,328.447,303.695,153.744,910.522,1305.465,426.254,45.61,252.128,30.34
1-03:00,21.1,12.667,86.083,1182.201,295.825,346.228,310.421,1.432,507.502,,16.822,47.103,62.391,328.654,303.75,152.577,666.636,1310.026,427.336,46.053,252.026,
1-04:00,20.14,13.733,,,274.481,346.553,309.963,1.546,504.445,6.037,16.822,47.111,62.56,328.914,304.03,151.887,760.02,1300.479,436.406,46.632,252.133,30.07
1-05:00,24.15,14.533,72.015,1173.241,267.057,347.734,317.653,1.585,508.158,,16.859,47.013,62.413,329.28,304.563,155.296,818.026,1299.657,464.85,45.908,251.97,
1-06:00,16.1,16.292,68.645,1094.883,245.962,344.478,321.061,1.571,509.786,6.08,16.865,47.121,60.236,325.376,301.572,152.409,659.302,1030.21,468.414,48.747,252.169,30.94
1-07:00,12.48,15.95,77.543,1190.289,189.957,347.703,327.435,1.569,593.963,,18.498,46.501,62.682,325.075,298.997,160.651,941.04,896.926,715.715,53.588,250.765,
1-08:00,14.23,15.35,85.518,1171.604,198.538,344.014,325.195,1.436,628.245,6.02,18.55,46.201,65.225,322.103,298.517,165.814,826.243,907.641,595.875,52.807,249.58,30.34
1-09:00,13.49,13.7,98.186,1243.688,116.275,346.208,326.982,1.434,696.766,,18.555,47.019,72.989,322.982,296.08,182.018,784.281,929.527,201.272,58.118,248.741,
1-10:00,12.17,12.667,114.57,1253.584,188.043,350.765,332.17,1.44,683.41,6.068,18.552,46.949,76.147,328.278,302.245,162.915,537.597,984.72,51.967,53.475,249.036,30.23
1-11:00,12.81,10.942,114.567,1241.142,215.485,346.411,328.375,1.378,654.744,,18.473,46.205,70.261,323.855,300.942,172.085,486.938,989.378,51.412,47.804,250.373,
1-12:00,14.53,10.833,93.121,1202.818,339.119,342.535,324.194,1.258,601.694,6.049,18.447,45.057,63.969,322.04,299.894,146.584,602.04,838.948,48.632,41.508,251.63,30.65
1-13:00,18.45,12.917,84.483,1175.728,391.599,343.614,323.472,1.229,561.564,,18.448,44.884,64.834,321.563,297.095,161.452,596.446,889.171,47.408,38.283,252.337,
1-14:00,24.3,13.917,87.835,1190.889,390.14,341.081,320.888,1.346,492.543,6.058,18.354,43.83,54.213,319.974,295.58,136.052,663.228,995.42,47.068,35.51,252.662,30.21
1-15:00,27.1,13.558,83.117,1175.417,289.256,339.168,318.386,1.36,480.184,,18.353,43.745,48.568,318.228,294.85,131.537,744.659,996.046,118.899,41.985,253.45,
1-16:00,24.7,14.142,80.809,1171.734,104.205,340.222,319.779,1.367,562.988,6.103,18.353,44.9,61.146,318.922,295.046,159.875,734.588,997.246,239.941,45.045,252.459,30.44
1-17:00,22.3,14.5,84.884,1189.789,133.151,341.833,320.563,1.383,599.66,,18.383,45.664,63.191,319.396,295.715,169.02,780.009,994.807,0,44.493,251.716,
1-18:00,23.6,14.017,84.943,1189.913,224.176,341.61,321.956,1.434,586.588,6.054,18.396,45.715,62.809,318.821,296.005,162.546,741.2,996.419,0,47.162,252.001,29.97
1-19:00,23,14.008,80.199,1188.278,194.959,342.718,321.539,1.404,609.731,,18.402,46.549,63.954,318.712,296.115,170.457,740.895,995.675,30.028,49.905,251.66,
1-20:00,22,14.817,76.696,1220.75,228.285,343.42,321.58,1.492,624.583,6.089,18.404,46.579,64.661,319.586,297.159,172.581,796.285,994.925,400.079,48.084,251.37,30.44
1-21:00,21.5,15.917,75.129,1231.493,279.928,343.39,321.641,1.474,606.018,,18.353,45.783,62.001,319.516,296.955,165.28,791.758,996.295,420.506,46.153,251.624,
1-22:00,20.7,16.208,75.314,1220.714,250.234,343.197,321.132,1.475,599.914,6.089,18.352,45.041,61.019,319.353,296.842,161.274,618.774,995.344,490.574,47.427,251.879,29.99
1-23:00,19.2,15.736,80.975,1274.247,197.078,343.644,321.692,1.577,628.652,,18.352,45.049,64.06,319.501,296.922,164.721,682.528,996.502,233.945,50.544,251.64,
2-00:00,17.8,15.708,81.625,1282.194,186.236,346.299,323.116,1.561,664.611,6.066,18.251,45.348,66.848,319.853,297.387,170.228,722.687,997.741,0,53.741,251.243,30.3
2-01:00,17,15.067,87.395,1284.704,265.526,346.757,325.008,1.496,681.701,6.013,18.257,46.979,72.717,320.411,299.02,179.245,811.747,994.015,371.605,51.784,250.872,29.85
2-02:00,18.08,14.7,87.35,1284.04,296.951,345.964,324.286,1.422,666.748,,18.165,46.41,70.625,319.776,298.178,172.265,753.103,993.972,327.286,51.788,251.199,
2-03:00,19.53,14.7,86.95,1291.208,311.74,346.411,325.537,1.453,665.781,6,18.155,46.566,72.204,320.093,298.28,177.49,800.709,995.302,314.19,48.965,251.101,30.05
2-04:00,20.43,14.85,85.819,1288.719,329.008,348.446,325.191,1.457,634.45,,18.063,45.912,66.878,319.642,297.751,168.943,804.575,995.674,395.544,47.086,251.38,
2-05:00,20.8,15.017,80.738,1283.069,311.598,350.551,323.014,1.426,621.836,6.074,18.045,45.644,64.355,319.491,297.193,166.361,732.351,995.923,493.573,47.199,251.604,29.88
2-06:00,23.01,15.892,84.424,1275.502,307.254,350.684,322.353,1.424,619.547,,18.048,46.021,66.115,319.408,296.743,169.007,756.561,996.957,505.981,46.379,251.543,
2-07:00,22.38,15.108,76.453,1283.128,279.875,351.06,323.533,1.492,614.969,6.087,17.961,45.818,65.917,319.607,296.332,170.19,745.982,995.302,510.837,47.551,251.752,29.88
2-08:00,22.53,16.783,76.396,1281.536,269.496,351.64,324.093,1.556,622.751,,17.955,45.95,67.107,319.652,296.317,171.703,776.347,991.185,510.583,49.702,251.548,
2-09:00,20.74,15.708,79.89,1254.937,245.464,353.38,325.313,1.5,652.405,6.093,17.953,46.201,69.625,320.894,296.939,179.385,826.904,994.848,503.35,52.17,251.253,29.72
2-10:00,15.73,14.683,84.488,1240.563,212.441,354.49,326.178,1.399,665.781,,17.889,45.929,72.081,321.599,297.011,184.918,908.284,996.211,423.066,55.423,250.541,
2-11:00,18.86,13.55,91.876,1244.918,157.417,357.865,330.227,1.393,688.72,6.144,17.85,46.167,72.997,322.716,298.414,187.665,858.439,995.964,83.763,54.684,250.399,29.8
2-12:00,21.1,12.892,84.474,1228.396,256.643,353.227,325.863,,639.435,6.116,17.789,45.671,66.136,320.527,297.588,178.47,766.734,973.082,285.956,45.317,250.648,29.55
2-13:00,23.5,14.542,76.57,1239.153,311.633,351.935,324.204,1.321,601.948,,17.759,45.129,65.83,319.867,297.004,175.188,673.807,986.953,405.26,42.915,250.872,
2-14:00,24.7,16.183,72.611,1231.362,332.497,350.938,322.801,1.455,564.87,6.115,17.759,44.043,60.175,319.644,296.799,159.557,670.349,1013.14,461.896,39.376,251.426,29.35
2-15:00,25.4,16.958,74.405,1230.776,295.522,350.216,322.74,1.471,540.151,,17.754,42.822,52.962,318.913,295.843,146.914,727.366,1052.879,476.15,43.701,252.097,
2-16:00,23.5,16.542,80.093,1246.777,198.217,350.521,323.513,1.474,596.506,6.19,17.75,43.986,65.556,319.151,296.025,153.147,843.689,1092.75,419.893,48.904,251.345,30.39
2-17:00,23,15.567,79.765,1233.698,173.686,351.691,323.482,1.466,645.436,,17.759,45.657,69.762,319.533,296.292,176.193,799.794,1118.886,338.161,53.603,250.638,
2-18:00,21.8,15.467,79.303,1228.541,204.661,352.321,323.737,1.428,670.156,6.195,17.754,46.303,70.678,320.266,297.618,182.769,833.72,1122.17,414.797,53.493,250.424,29.91
2-19:00,22.3,15.492,75.395,1232.071,266.968,354.244,325.212,1.416,662.78,,17.711,45.883,70.978,322.028,299.212,189.268,776.143,1103.063,412.781,50.496,250.251,
2-20:00,23.3,16.742,73.689,1233.677,303.943,352.993,323.533,1.464,624.176,6.2,17.755,45.102,68.114,321.016,297.472,177.16,766.784,1128.702,448.512,47.535,250.719,29.84
2-21:00,21.4,16.482,74.496,1227.821,284.93,354,323.818,1.46,620.971,,17.754,46.746,66.619,321.598,296.957,173.191,792.281,1125.35,411.826,50.004,250.582,
2-22:00,21.5,16.817,78.969,1237.844,285.892,353.644,324.5,1.437,621.887,6.215,17.757,47.46,68.75,321.235,296.616,176.46,852.132,1141.946,344.089,52.043,250.678,29.7
2-23:00,18.13,16.825,84.836,1246.387,259.527,355.515,325.985,,662.577,6.16,17.759,48.312,72.407,321.904,296.185,186.165,810.272,1132.813,0,54.044,250.266,29.63
3-00:00,18.3,16.833,91.341,1236.911,287.397,356.787,327.856,1.54,661.532,,17.759,47.809,71.891,323.285,297.755,187.777,841.552,1144.876,0,53.897,250.212,
3-01:00,18.9,15.067,83.178,1245.584,106.11,362.677,330.216,1.48,676.106,6.211,17.798,46.345,71.263,324.407,297.655,186.241,707.326,1142.856,0,54,250.083,31.03
3-02:00,14.9,14.975,91.542,1240.39,49.527,359.086,325.242,1.466,674.072,,17.8,46.866,71.71,322.463,295.805,183.379,786.316,1111.074,0,54.958,250.032,
3-03:00,16.2,13.55,93.163,1199.476,145.933,360.134,325.11,1.437,665.934,6.226,17.797,46.362,70.2,323.619,299.095,185.122,846.13,1017.32,0,51.024,250.155,31.07
3-04:00,16.1,12.875,92.117,1236.216,268.214,357.194,320.715,1.3,609.985,,17.798,45.399,68.43,322.015,297.708,164.403,800.11,988.965,0,46.806,250.612,
3-05:00,20.6,13.42,80.236,1218.92,311.776,356.528,327.719,1.28,602.711,6.259,17.797,46.33,65.642,321.832,296.767,169.503,744.863,999.97,153.735,44.405,250.317,31.344
3-06:00,24.4,15.192,83.373,1242.951,369.311,354.919,326.66,1.364,552.917,,17.803,45.833,61.477,320.649,296.662,156.339,748.169,979.839,0,40.485,250.577,
