Time,Q1,Q2,T1,T2
0,0,0,24.44,0
1.000385284,0,0,24.44,0
2.000896215,0,0,24.44,0
3.002266884,0,0,24.44,0
4.002946138,0,0,24.44,0
5.004017591,0,0,24.44,0
6.005068064,0,0,24.44,0
7.006625891,0,0,24.44,0
8.007645607,0,0,24.44,0
9.008812904,0,0,24.44,0
10.00971794,0,0,24.44,0
11.01044106,0,0,24.44,0
12.01124811,0,0,24.44,0
13.01241922,0,0,24.44,0
14.01334453,0,0,24.44,0
15.0143857,51,0,24.44,0
16.01529503,51,0,24.41,0
17.01659441,51,0,24.44,0
18.01800203,51,0,24.41,0
19.01895761,51,0,24.48,0
20.03020167,51,0,24.54,0
21.03028655,51,0,24.48,0
22.03050756,51,0,24.54,0
23.03099513,51,0,24.67,0
24.04009962,51,0,24.7,0
25.04783678,51,0,24.73,0
26.04825783,51,0,24.77,0
27.04934621,51,0,24.77,0
28.06009269,51,0,24.83,0
29.07386374,51,0,24.99,0
30.07937527,51,0,25.09,0
31.07961893,51,0,25.09,0
32.0886116,51,0,25.09,0
33.08895802,51,0,25.35,0
34.10500455,51,0,25.41,0
35.1195786,51,0,25.41,0
36.12390065,51,0,25.51,0
37.12414694,51,0,25.73,0
38.12441039,51,0,25.73,0
39.12470746,51,0,25.93,0
40.13449717,51,0,26.05,0
41.13479853,51,0,26.12,0
42.13563037,51,0,26.31,0
43.13624835,51,0,26.38,0
44.15175819,51,0,26.57,0
45.15205073,51,0,26.7,0
46.15317822,51,0,26.83,0
47.153723,51,0,27.02,0
48.16910553,51,0,27.05,0
49.16941857,51,0,27.34,0
50.16965628,51,0,27.34,0
51.17645001,51,0,27.54,0
52.17671871,51,0,27.67,0
53.18208361,51,0,27.76,0
54.1883471,51,0,27.99,0
55.1967175,51,0,27.99,0
56.19676113,51,0,28.31,0
57.20942903,51,0,28.34,0
58.20969772,51,0,28.57,0
59.23083973,51,0,28.63,0
60.23099351,51,0,28.83,0
61.24250603,51,0,28.96,0
62.24356771,51,0,29.05,0
63.24605012,51,0,29.28,0
64.26145816,51,0,29.47,0
65.26166987,51,0,29.6,0
66.27484798,51,0,29.73,0
67.27510595,51,0,29.92,0
68.27764726,51,0,29.92,0
69.29309249,51,0,30.21,0
70.29424214,51,0,30.24,0
71.29508615,51,0,30.5,0
72.2962184,51,0,30.57,0
73.29705095,51,0,30.89,0
74.30602121,51,0,30.89,0
75.3118403,51,0,31.21,0
76.3127346,51,0,31.21,0
77.32314992,51,0,31.37,0
78.32978511,51,0,31.53,0
79.33058691,51,0,31.69,0
80.33801222,51,0,31.86,0
81.33890033,51,0,31.95,0
82.34038329,51,0,32.18,0
83.35301661,51,0,32.34,0
84.35522151,51,0,32.5,0
85.36089158,51,0,32.53,0
86.36421633,51,0,32.82,0
87.36483765,51,0,32.85,0
88.36884928,51,0,33.11,0
89.38431239,51,0,33.21,0
90.38525176,51,0,33.47,0
91.38630295,51,0,33.6,0
92.40176725,51,0,33.79,0
93.40204406,51,0,33.85,0
94.41438675,51,0,34.11,0
95.4175334,51,0,34.21,0
96.4329226,51,0,34.43,0
97.43357348,51,0,34.66,0
98.43425536,51,0,34.76,0
99.43480062,51,0,34.95,0
100.4348872,51,0,35.08,0
101.4485662,51,0,35.3,0
102.4639871,51,0,35.4,0
103.4645565,51,0,35.66,0
104.4645841,51,0,35.72,0
105.4660389,51,0,35.92,0
106.4705145,51,0,36.04,0
